Car,4,1,692.1469387755101,404.4987012987013,677.708348794063,377.1413729128014,725.2037105751391,410.578107606679
Car,4,1,776.3294990723563,436.11873840445264,734.5335807050092,380.2641929499073,845.4827458256029,455.1168831168832
Car,4,1,1041.669758812616,488.59461966604823,818.812615955473,402.6315398886827,1225.3432282003712,589.165120593692
Car,1,1,114.95361781076055,496.943413729128,0.0,383.77087198515767,416.43784786641925,624.030612244898
Car,1,1,453.4768089053802,430.7532467532468,379.38404452690156,370.4341372912802,498.59740259740255,450.22634508348796
Car,1,1,520.1261595547309,414.10018552875687,475.00556586270864,364.23005565862707,556.6975881261595,422.67903525046387
Car,5,0,528.9754359925787,401.76920222634516,528.9754359925787,368.6364378478665,567.5796660482373,401.76920222634516
Car,5,0,541.1342486085341,393.25803339517626,541.1342486085341,361.3411502782932,572.8460111317253,396.5269016697588
Car,1,1,577.1099547309832,388.9347680890539,557.2446753246752,368.6364378478665,590.6814100185527,390.82627087198523
Car,1,1,614.5287124304267,386.03956957328387,598.2359035250463,369.01723191094624,625.7148200371057,388.471332096475
Car,1,1,629.3624638218922,387.4682300556587,616.9118397031539,375.7059799628943,652.0082404452688,387.4682300556587
Car,1,1,648.8165640074209,384.1610330241188,635.3932348794062,370.73770389610394,660.0999421150277,384.93919703154
Others,4,1,722.9461966604824,417.3654916512059,702.048237476809,384.11873840445264,768.5417439703155,425.91465677179957
